word,value,uniqueness,count
norse,38.2946,5,713187.0
noser,38.2946,5,0.0
ornes,38.2946,5,0.0
senor,38.2946,5,352047.0
seron,38.2946,5,0.0
snore,38.2946,5,294125.0
eosin,38.258500000000005,5,81179.0
noise,38.2585,5,25171520.0
aider,38.1674,5,140957.0
aired,38.1674,5,2159611.0
deair,38.1674,5,0.0
irade,38.1674,5,0.0
redia,38.1674,5,0.0
nerts,38.082,5,0.0
rents,38.082,5,2094682.0
stern,38.082,5,4643592.0
terns,38.082,5,322293.0
ernst,38.082,5,2726438.0
enrol,38.0488,5,878274.0
loner,38.0488,5,260915.0
loren,38.0488,5,1716418.0
nerol,38.0488,5,0.0
neist,38.0459,5,0.0
senti,38.0459,5,56703.0
snite,38.0459,5,0.0
stein,38.0459,5,3893544.0
stine,38.0459,5,418009.0
tiens,38.0459,5,42078.0
tines,38.0459,5,129756.0
tsine,38.0459,5,0.0
inset,38.0459,5,1162898.0
senit,38.0459,5,24526.0
aloes,38.0452,5,66464.0
alose,38.0452,5,0.0
osela,38.0452,5,0.0
solea,38.0452,5,33523.0
acone,38.014,5,0.0
canoe,38.014,5,3790795.0
ocean,38.014,5,31928741.0
eloin,38.0127,5,0.0
enoil,38.0127,5,0.0
ileon,38.0127,5,0.0
olein,38.0127,5,13736.0
perai,37.9501,5,0.0
taels,37.832600000000006,5,0.0
tales,37.832600000000006,5,11222332.0
astel,37.8326,5,0.0
least,37.8326,5,111229798.0
salet,37.8326,5,0.0
setal,37.8326,5,0.0
slate,37.8326,5,3813904.0
stale,37.8326,5,1065657.0
steal,37.8326,5,6257493.0
stela,37.8326,5,52675.0
teals,37.8326,5,0.0
tesla,37.8326,5,1134572.0
autre,37.8199,5,893881.0
urate,37.8199,5,49640.0
enact,37.8014,5,1263603.0
inlet,37.8001,5,3433125.0
intel,37.8001,5,28995654.0
linet,37.8001,5,22700.0
aimer,37.7959,5,96862.0
amire,37.7959,5,0.0
maire,37.7959,5,156974.0
marie,37.7959,5,12862466.0
ramie,37.7959,5,101611.0
haire,37.7864,5,69270.0
hiera,37.7864,5,0.0
adore,37.7861,5,1176240.0
oared,37.7861,5,0.0
oread,37.7861,5,21344.0
citer,37.7761,5,42011.0
recit,37.7761,5,35632.0
recti,37.7761,5,13476.0
ticer,37.7761,5,24619.0
trice,37.7761,5,354532.0
ariot,37.7367,5,0.0
ratio,37.7367,5,26457942.0
notes,37.6646,5,79958318.0
onset,37.6646,5,3858839.0
seton,37.6646,5,1136773.0
steno,37.6646,5,201103.0
stone,37.6646,5,42494931.0
tenso,37.6646,5,0.0
tones,37.6646,5,13373535.0
dater,37.5735,5,89544.0
drate,37.5735,5,0.0
rated,37.5735,5,59102029.0
tarde,37.5735,5,124828.0
tared,37.5735,5,0.0
trade,37.5735,5,110086585.0
tread,37.5735,5,1672572.0
adret,37.5735,5,0.0
derat,37.5735,5,0.0
detar,37.5735,5,12917.0
opera,37.5688,5,18225169.0
ideta,37.537400000000005,5,0.0
lanes,37.536100000000005,5,5489762.0
senal,37.536100000000005,5,0.0
ansel,37.5361,5,503986.0
elans,37.5361,5,0.0
leans,37.5361,5,533946.0
slane,37.5361,5,95822.0
urnae,37.5234,5,0.0
urena,37.5234,5,15526.0
acres,37.5121,5,14208905.0
arces,37.5121,5,0.0
cares,37.5121,5,4757269.0
carse,37.5121,5,45840.0
caser,37.5121,5,0.0
ceras,37.5121,5,0.0
cesar,37.5121,5,1092865.0
escar,37.5121,5,0.0
races,37.5121,5,9715279.0
scare,37.5121,5,2972708.0
scrae,37.5121,5,0.0
serac,37.5121,5,43796.0
sacre,37.5121,5,175733.0
liers,37.5108,5,26434.0
riels,37.5108,5,23627.0
riles,37.5108,5,79480.0
slier,37.5108,5,0.0
cerin,37.479600000000005,5,0.0
crine,37.4796,5,0.0
nicer,37.4796,5,1239249.0
acies,37.476000000000006,5,0.0
saice,37.476,5,0.0
arion,37.4402,5,212819.0
noria,37.4402,5,35779.0
lento,37.4188,5,77400.0
olent,37.4188,5,0.0
morae,37.4146,5,19411.0
horae,37.4051,5,0.0
ohare,37.4051,5,184088.0
aueto,37.4025,5,0.0
recto,37.3948,5,184754.0
apert,37.3562,5,36425.0
apter,37.3562,5,75596.0
parte,37.3562,5,1541532.0
pater,37.3562,5,227685.0
peart,37.3562,5,169113.0
prate,37.3562,5,24190.0
preta,37.3562,5,32933.0
taper,37.3562,5,1294069.0
terap,37.3562,5,0.0
pieta,37.3201,5,74232.0
andre,37.277,5,4737505.0
arend,37.277,5,96252.0
daren,37.277,5,137226.0
dearn,37.277,5,0.0
denar,37.277,5,55863.0
redan,37.277,5,93847.0
carle,37.2663,5,405785.0
ceral,37.2663,5,0.0
clare,37.2663,5,3687106.0
clear,37.2663,5,88447610.0
lacer,37.2663,5,33587.0
aegir,37.2535,5,27842.0
aiger,37.2535,5,0.0
aigre,37.2535,5,0.0
geira,37.2535,5,0.0
regia,37.2535,5,180777.0
diane,37.2409,5,7081367.0
endia,37.2409,5,0.0
idean,37.2409,5,0.0
alice,37.2302,5,11994061.0
celia,37.2302,5,901589.0
elaic,37.2302,5,0.0
ileac,37.2302,5,0.0
intra,37.2276,5,3081776.0
riant,37.2276,5,0.0
tairn,37.2276,5,0.0
tarin,37.2276,5,58639.0
train,37.2276,5,31816971.0
trina,37.2276,5,2140397.0
trema,37.202000000000005,5,18640.0
armet,37.202,5,0.0
mater,37.202,5,1493901.0
merat,37.202,5,0.0
metra,37.202,5,457744.0
ramet,37.202,5,0.0
tamer,37.202,5,355602.0
terma,37.202,5,24945.0
trame,37.202,5,21973.0
hater,37.1925,5,467834.0
heart,37.1925,5,90249265.0
herat,37.1925,5,152529.0
rathe,37.1925,5,49569.0
earth,37.1925,5,61059905.0
etiam,37.1659,5,108415.0
matie,37.1659,5,32566.0
hiate,37.156400000000005,5,0.0
deota,37.1561,5,0.0
todea,37.1561,5,0.0
lores,37.1295,5,41944.0
loser,37.1295,5,2529180.0
orles,37.1295,5,0.0
orsel,37.1295,5,0.0
roles,37.1295,5,13171507.0
rosel,37.1295,5,26580.0
soler,37.1295,5,142747.0
sorel,37.1295,5,385306.0
coner,37.0983,5,17918.0
crone,37.0983,5,229759.0
necro,37.0983,5,206994.0
oncer,37.0983,5,0.0
recon,37.0983,5,1955124.0
ourie,37.0807,5,0.0
arpen,37.05970000000001,5,0.0
paren,37.0597,5,158052.0
enpia,37.0236,5,0.0
niepa,37.0236,5,0.0
paine,37.0236,5,1097105.0
enarm,36.9055,5,0.0
reman,36.9055,5,169056.0
namer,36.9055,5,103097.0
atune,36.8934,5,0.0
caste,36.8821,5,1166877.0
cates,36.8821,5,476810.0
cesta,36.8821,5,146961.0
sceat,36.8821,5,0.0
taces,36.8821,5,0.0
islet,36.8808,5,488105.0
istle,36.8808,5,0.0
liest,36.8808,5,37348.0
lites,36.8808,5,366325.0
slite,36.8808,5,0.0
stile,36.8808,5,353280.0
tiles,36.8808,5,5251527.0
orage,36.8722,5,118734.0
enami,36.869400000000006,5,0.0
manei,36.869400000000006,5,0.0
amine,36.8694,5,689951.0
anime,36.8694,5,31334688.0
maine,36.8694,5,26049821.0
manie,36.8694,5,61604.0
minae,36.8694,5,0.0
urite,36.868100000000005,5,0.0
uteri,36.8681,5,96583.0
haine,36.8599,5,76376.0
anode,36.8596,5,768949.0
beira,36.855,5,81159.0
barie,36.855,5,0.0
erbia,36.855,5,0.0
rebia,36.855,5,0.0
ceint,36.8496,5,0.0
centi,36.8496,5,19432.0
cetin,36.8496,5,28388.0
orant,36.8463,5,0.0
rotan,36.8463,5,72673.0
toran,36.8463,5,29885.0
trona,36.8463,5,71439.0
niota,36.8102,5,25859.0
taino,36.8102,5,83178.0
grate,36.659600000000005,5,672155.0
targe,36.659600000000005,5,37088.0
gater,36.6596,5,38694.0
great,36.6596,5,301487430.0
greta,36.6596,5,720377.0
retag,36.6596,5,0.0
terga,36.6596,5,0.0
entad,36.647000000000006,5,0.0
anted,36.647,5,16159.0
dante,36.647,5,1961656.0
denat,36.647,5,0.0
paeon,36.6423,5,0.0
ectal,36.636300000000006,5,0.0
catel,36.6363,5,0.0
cleat,36.6363,5,371970.0
eclat,36.6363,5,123738.0
lacet,36.6363,5,0.0
tecla,36.6363,5,44096.0
diter,36.6217,5,0.0
tired,36.6217,5,11158233.0
tried,36.6217,5,34201786.0
poire,36.617,5,20335.0
aures,36.6041,5,0.0
serau,36.6041,5,0.0
urase,36.6041,5,0.0
ureas,36.6041,5,0.0
ursae,36.6041,5,19152.0
afire,36.5951,5,113772.0
faire,36.5951,5,1756290.0
feria,36.5951,5,214175.0
acnes,36.58560000000001,5,44507.0
canes,36.58560000000001,5,830262.0
scena,36.5856,5,91089.0
lines,36.584300000000006,5,76806341.0
niels,36.584300000000006,5,680887.0
silen,36.584300000000006,5,22517.0
elsin,36.5843,5,0.0
lenis,36.5843,5,0.0
liens,36.5843,5,1947603.0
sline,36.5843,5,0.0
inure,36.5716,5,119454.0
urine,36.5716,5,4903932.0
aiery,36.5609,5,0.0
cires,36.560300000000005,5,38841.0
cries,36.560300000000005,5,1878107.0
rices,36.560300000000005,5,94158.0
seric,36.560300000000005,5,0.0
sicer,36.5603,5,0.0
orias,36.520900000000005,5,0.0
toles,36.499500000000005,5,41244.0
slote,36.4995,5,30259.0
stole,36.4995,5,2814273.0
telos,36.4995,5,223130.0
outer,36.4868,5,11245167.0
outre,36.4868,5,124480.0
route,36.4868,5,31439231.0
troue,36.4868,5,0.0
utero,36.4868,5,266458.0
